signature,database,buildtime,version
Win.Trojan.FakeSSH-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.FakeAV-14041,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Spyware.SpyEyes-223,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.FakeAV-14042,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Adinstall-2,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-53,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-54,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.FakeAV-14043,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Spyware.Zbot-64719,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Downloader.Small-24781,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.VB-73663,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.VB-73664,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.VB-73665,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Expiro-1777,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Downloader.106380-1,main.ldb,16 Sep 2021 08:32 -0400,62
Legacy.Trojan.Agent-1388599,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.FakeSkype-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-55,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-18,main.ldb,16 Sep 2021 08:32 -0400,62
Andr.Trojan.SMSsend-2,main.ldb,16 Sep 2021 08:32 -0400,62
Legacy.Trojan.Agent-1388617,main.ldb,16 Sep 2021 08:32 -0400,62
Heuristics.Trojan.Agent-1388618,main.ldb,16 Sep 2021 08:32 -0400,62
Heuristics.Trojan.Agent-1388619,main.ldb,16 Sep 2021 08:32 -0400,62
Heuristics.Trojan.Agent-1388620,main.ldb,16 Sep 2021 08:32 -0400,62
Legacy.Trojan.Agent-1388621,main.ldb,16 Sep 2021 08:32 -0400,62
Heuristics.Trojan.Agent-1388622,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Turla-3,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Turla-4,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Turla-5,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Exploit.CVE_2014_1795-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Virus.Rovnix-9,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Olmasco2012-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Zbot-64723,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Zbot-64724,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Cryptowall-16,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Cryptowall-17,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Cryptowall-18,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Spammer-26,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Downloader-66467,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.ZxShell-14,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.ZxShell-16,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388633,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388634,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Dyre-5,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.UPATRE-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Mailspam-47,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Refroso-12661,main.ldb,16 Sep 2021 08:32 -0400,62
